별점,리뷰,긍/부정
5,지난 주에도 시켰는데 괜찮아서 또 시켰네요~ 배달 속도도 빠르고 음식도 만족스럽습니다ㅎㅎ,1
5,푸짐하게 잘 먹었습니다.,1
2,콩국수 꼽빼기 2개는 양도 맛도 별로임 꽁국수 메뉴추가는 패착인듯,-1
5, ........,1
5,김밥이 맛있습니다요,1
5,매번 맛있고 배불리 잘 먹고 있습니다. 변함없이 잘 부탁드립니다.,1
4,냉면은 엄청 맛 있는데 육계장이 좀 연해진거 같아요,1
5,콩국수 진하고 맛있습니다ㆍㆍ만두랑 딱 컴비네요,1
5,맛있게 잘먹었습니다,1
5,완젼맛있어요 냉면맛집입니다!!! 돈까스는아이도엄청잘먹네요~~^^,1
1,짜장은 중국집으로 떡볶이는 오뎅이 더 많음,-1
5,맛있어요!!!!!!!!!,1
5,좋아요 빠르고 괜찮아요,1
5,맛있게 잘 먹었습니다 감사합니다,1
2,반이상 남겼다.. 맛있다는 리뷰가잇는거보니 바빠서그런걸까ㅠㅠ 너무 먹고싶어서 시켰는데 실망이크다 돈이아깝다 많이시켰는데 좋게쓰고싶지만 발전하시라고 솔직평남겨요,-1
5,역시 믿고보는 김천♡,1
5,오랫만에 아이들 시켜준것같아요. 맛있었다네요,1
5,맛도있고 양도 넘쳐요~~ 기분좋게 배불러요^^ 맛있는 한끼 감사합니다~~,1
5,냉면 너무맛나요^^ 고구마치즈돈까스는 옛날돈까스느낌인데 이르케맛있어도되나요??아이가 홀랑다먹어서 갱시니 맛봤어요ㅋㅋ 또주문할께요,1
5,완젼맛있어요 냉면맛집이네요 김밥도 오뎅도 떡볶이도 잘먹었어요 감사합니다,1
5,맛있게 잘 먹었습니다,1
5,ㅓ툐너러 ㅎㄴ파 ㅓ툐,1
5,아들 시켜줬는데 넘 맛나게 잘먹었답니다,1
5,가성비에 좋아요~ 맛도 좋아요~,1
5,맛있어요ㅎㅎㅎㅎㅎㅎ,1
5,참치김밥은 늘 맛있어요,1
